date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel
2020-04-27,14:00,UR,,83,,4,,,69,5,https://www.ur.ch/themen/2962,,,
2020-04-28,12:00,UR,,85,,5,,,71,5,https://www.ur.ch/themen/2962,,,
2020-04-29,14:00,UR,,85,,5,,,71,5,https://www.ur.ch/themen/2962,,,
2020-04-30,16:00,UR,,86,,4,,,71,5,https://www.ur.ch/themen/2962,,,
2020-05-01,15:30,UR,,87,,3,,,72,6,https://www.ur.ch/themen/2962,,,
2020-05-02,15:00,UR,,89,,0,,,72,6,https://www.ur.ch/themen/2962,,,
2020-05-03,13:00,UR,,90,,0,,,72,6,https://www.ur.ch/themen/2962,,,
2020-05-04,14:00,UR,,91,,2,,,72,6,https://www.ur.ch/themen/2962,,,
2020-05-05,15:30,UR,,91,,2,,,74,7,https://www.ur.ch/themen/2962,,,
2020-05-06,14:00,UR,,91,,3,,,74,7,https://www.ur.ch/themen/2962,,,
2020-05-07,13:00,UR,,92,,2,,,75,7,https://www.ur.ch/themen/2962,,,
2020-05-08,14:00,UR,,92,,3,,,75,7,https://www.ur.ch/themen/2962,,,
2020-05-09,14:00,UR,,92,,3,,,75,7,https://www.ur.ch/themen/2962,,,
2020-05-10,14:00,UR,,92,,3,,,75,7,https://www.ur.ch/themen/2962,,,
2020-05-11,14:00,UR,,92,,1,,,75,7,https://www.ur.ch/themen/2962,,,
2020-05-12,16:30,UR,,92,,3,,,75,7,https://www.ur.ch/themen/2962,,,
2020-05-13,15:15,UR,,92,,3,,,78,7,https://www.ur.ch/themen/2962,,,
2020-05-14,16:15,UR,,92,,3,,,78,7,https://www.ur.ch/themen/2962,,,
2020-05-16,14:00,UR,,93,,4,,,79,7,https://www.ur.ch/themen/2962,,,
2020-05-17,15:30,UR,,93,,5,,,79,7,https://www.ur.ch/themen/2962,,,
2020-05-18,15:30,UR,,93,,5,,,79,7,https://www.ur.ch/themen/2962,,,
2020-05-19,15:00,UR,,93,,3,,,79,7,https://www.ur.ch/themen/2962,,,
2020-05-20,15:30,UR,,93,,0,,,82,7,https://www.ur.ch/themen/2962,,,
2020-05-21,17:30,UR,,93,,0,,,82,7,https://www.ur.ch/themen/2962,,,
2020-05-22,17:30,UR,,93,,0,,,84,7,https://www.ur.ch/themen/2962,,,
2020-05-23,17:30,UR,,93,,1,,,84,7,https://www.ur.ch/themen/2962,,,
2020-05-24,17:30,UR,,93,,1,,,84,7,https://www.ur.ch/themen/2962,,,
2020-05-25,17:00,UR,,93,,1,,,84,7,https://www.ur.ch/themen/2962,,,
2020-05-26,20:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-05-27,17:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-05-28,14:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-05-29,14:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-05-30,14:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-05-31,14:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-06-01,11:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-06-02,17:00,UR,,93,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-06-26,11:30,UR,,94,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-06-29,08:00,UR,,95,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-06-30,15:00,UR,,97,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-07-01,17:00,UR,,103,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-07-02,16:30,UR,,104,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-07-05,16:30,UR,,105,,0,,,86,7,https://www.ur.ch/themen/2962,,,
2020-07-07,16:00,UR,,107,,0,,,87,7,https://www.ur.ch/themen/2962,,,
2020-07-09,13:30,UR,,109,,0,,,90,7,https://www.ur.ch/themen/2962,,,
2020-07-13,07:00,UR,,109,,0,,,90,7,https://www.ur.ch/themen/2962,,,
2020-07-15,08:00,UR,,111,,0,,,93,7,https://www.ur.ch/themen/2962,,,
2020-07-16,16:00,UR,,111,,0,,,100,7,https://www.ur.ch/themen/2962,,,
2020-07-20,16:00,UR,,112,,0,,,104,7,https://www.ur.ch/themen/2962,,,
2020-07-22,16:00,UR,,,,0,,,104,7,https://www.ur.ch/themen/2962,,,
2020-07-23,16:30,UR,,115,,1,,,104,7,https://www.ur.ch/themen/2962,,,
2020-07-24,11:00,UR,,115,,1,,,,7,https://www.ur.ch/themen/2962,,,
2020-07-28,07:00,UR,,115,,1,,,,7,https://www.ur.ch/themen/2962,,,
2020-07-29,13:00,UR,,116,,1,,,,7,https://www.ur.ch/themen/2962,,,
2020-07-30,11:00,UR,,116,,0,,,,7,https://www.ur.ch/themen/2962,,,
2020-07-31,11:00,UR,,116,,0,,,104,7,https://www.ur.ch/themen/2962,,,
2020-08-03,16:00,UR,,117,,0,,,106,7,https://www.ur.ch/themen/2962,,47,
2020-08-04,16:00,UR,,117,,0,,,106,7,https://www.ur.ch/themen/2962,,49,
2020-08-05,16:00,UR,,117,,0,,,106,7,https://www.ur.ch/themen/2962,,49,
2020-08-06,16:15,UR,,117,,0,,,106,7,https://www.ur.ch/themen/2962,,48,
2020-08-07,16:00,UR,,117,,0,,,107,7,https://www.ur.ch/themen/2962,,55,
2020-08-10,16:00,UR,,117,,0,,,110,7,https://www.ur.ch/themen/2962,,36,
2020-08-11,16:00,UR,,119,,0,,,110,7,https://www.ur.ch/themen/2962,,35,
2020-08-12,16:00,UR,,120,,0,,,110,7,https://www.ur.ch/themen/2962,,70,
2020-08-13,16:00,UR,,121,,0,,,110,7,https://www.ur.ch/themen/2962,,71,
2020-08-14,16:15,UR,,123,,0,,,110,7,https://www.ur.ch/themen/2962,,70,
2020-08-17,15:45,UR,,126,,0,,,111,7,https://www.ur.ch/themen/2962,,89,
2020-08-18,16:00,UR,,127,,0,,,113,7,https://www.ur.ch/themen/2962,,71,
2020-08-19,16:00,UR,,129,,0,,,,7,https://www.ur.ch/themen/2962,,59,
2020-08-20,16:00,UR,,129,,0,,,115,7,https://www.ur.ch/themen/2962,,50,
2020-08-21,16:00,UR,,129,,0,,,115,7,https://www.ur.ch/themen/2962,,55,
2020-08-24,16:00,UR,,132,,0,,,115,7,https://www.ur.ch/themen/2962,,41,
2020-08-25,16:00,UR,,134,,0,,,116,7,https://www.ur.ch/themen/2962,,35,
2020-08-26,16:00,UR,,136,,0,,,120,7,https://www.ur.ch/themen/2962,,36,
2020-08-27,16:00,UR,,136,,0,,,123,7,https://www.ur.ch/themen/2962,,20,
2020-08-28,16:00,UR,,137,,0,,,126,7,https://www.ur.ch/themen/2962,,19,
2020-08-31,16:00,UR,,137,,0,,,126,7,https://www.ur.ch/themen/2962,,15,
2020-09-01,16:30,UR,,137,,0,,,126,7,https://www.ur.ch/themen/2962,,15,
2020-09-02,16:00,UR,,137,,0,,,127,7,https://www.ur.ch/themen/2962,,16,
2020-09-03,16:00,UR,,137,,0,,,127,7,https://www.ur.ch/themen/2962,,15,
2020-09-04,16:00,UR,,137,,0,,,127,7,https://www.ur.ch/themen/2962,,15,
2020-09-06,19:00,UR,,137,,0,,,127,7,https://www.ur.ch/themen/2962,,14,
2020-09-07,16:00,UR,,138,,0,,,128,7,https://www.ur.ch/themen/2962,,11,
2020-09-08,16:00,UR,,138,,0,,,128,7,https://www.ur.ch/themen/2962,,14,
2020-09-09,16:00,UR,,138,,0,,,128,7,https://www.ur.ch/themen/2962,,18,
2020-09-10,16:00,UR,,138,,0,,,128,7,https://www.ur.ch/themen/2962,,15,
2020-09-11,16:00,UR,,138,,0,,,128,7,https://www.ur.ch/themen/2962,,19,
2020-09-14,16:00,UR,,139,,0,,,130,7,https://www.ur.ch/themen/2962,,22,
2020-09-15,16:00,UR,,139,,0,,,130,7,https://www.ur.ch/themen/2962,,22,
2020-09-16,16:00,UR,,139,,0,,,130,7,https://www.ur.ch/themen/2962,,20,
2020-09-18,16:00,UR,,139,,0,,,130,7,https://www.ur.ch/themen/2962,,22,
2020-09-21,16:00,UR,,140,,0,,,131,7,https://www.ur.ch/themen/2962,,26,
2020-09-22,16:00,UR,,141,,0,,,132,7,https://www.ur.ch/themen/2962,,28,
2020-09-23,16:00,UR,,141,,1,,,132,7,https://www.ur.ch/themen/2962,,25,
2020-09-24,16:00,UR,,141,,1,,,132,7,https://www.ur.ch/themen/2962,,25,
2020-09-25,16:00,UR,,141,,1,,,132,7,https://www.ur.ch/themen/2962,,20,
2020-09-28,16:00,UR,,141,,1,,,,7,https://www.ur.ch/themen/2962,,18,
2020-09-29,18:00,UR,,142,,1,,,,7,https://www.ur.ch/themen/2962,,90,
2020-09-30,16:00,UR,,142,,0,,,,7,https://www.ur.ch/themen/2962,,100,
2020-10-01,16:30,UR,,143,,0,,,132,7,https://www.ur.ch/themen/2962,,100,
2020-10-02,14:00,UR,,146,,0,,,133,7,https://www.ur.ch/themen/2962,,105,
2020-10-05,16:00,UR,,151,,0,,,134,7,https://www.ur.ch/themen/2962,,106,
2020-10-06,16:00,UR,,151,,0,,,134,7,https://www.ur.ch/themen/2962,,104,
2020-10-07,16:00,UR,,165,,0,,,135,7,https://www.ur.ch/themen/2962,,124,
2020-10-08,16:00,UR,,167,,0,,,137,7,https://www.ur.ch/themen/2962,,125,
2020-10-09,16:00,UR,,173,,0,,,138,7,https://www.ur.ch/themen/2962,,133,
2020-10-12,16:00,UR,,182,,0,,,,7,https://www.ur.ch/themen/2962,,169,
2020-10-13,16:00,UR,,184,,2,,,,7,https://www.ur.ch/themen/2962,,166,
2020-10-14,16:30,UR,,193,,2,,,145,7,https://www.ur.ch/themen/2962,,169,
2020-10-16,10:00,UR,,199,,2,,,145,7,https://www.ur.ch/themen/2962,,540,
2020-10-19,16:00,UR,,232,,1,,,159,7,https://www.ur.ch/themen/2962,,661,
2020-10-20,17:00,UR,,238,,1,,,172,7,https://www.ur.ch/themen/2962,,654,
2020-10-21,16:30,UR,,262,,0,,,176,7,https://www.ur.ch/themen/2962,,474,
2020-10-23,09:30,UR,,282,,2,,,187,7,https://www.ur.ch/themen/2962,,274,
2020-10-26,16:00,UR,,335,,4,,,201,7,https://www.ur.ch/themen/2962,,345,
2020-10-27,16:30,UR,,344,,4,,,203,7,https://www.ur.ch/themen/2962,,329,
2020-10-28,16:00,UR,,381,,5,,,218,7,https://www.ur.ch/themen/2962,,320,
2020-10-30,16:00,UR,,423,,5,,,,8,https://www.ur.ch/themen/2962,,337,
2020-11-02,16:00,UR,,486,,4,,,246,8,https://www.ur.ch/themen/2962,,368,
2020-11-03,09:30,UR,,486,,4,,,246,8,https://www.ur.ch/themen/2962,,368,
2020-11-04,16:00,UR,,529,,7,,,291,8,https://www.ur.ch/themen/2962,,314,
2020-11-05,16:00,UR,,541,,7,,,320,9,https://www.ur.ch/themen/2962,,313,
2020-11-06,16:00,UR,,554,,6,,,343,9,https://www.ur.ch/themen/2962,,298,
2020-11-09,16:00,UR,,589,,6,,,387,9,https://www.ur.ch/themen/2962,,220,
2020-11-10,16:00,UR,,599,,6,,,432,9,https://www.ur.ch/themen/2962,,187,
2020-11-11,16:00,UR,,614,,5,,,452,9,https://www.ur.ch/themen/2962,,193,
2020-11-12,16:00,UR,,628,,5,,,469,9,https://www.ur.ch/themen/2962,,185,
2020-11-13,16:00,UR,,643,,5,,,484,9,https://www.ur.ch/themen/2962,,186,
2020-11-15,19:00,UR,,706,,5,,,506,9,https://www.ur.ch/themen/2962,,206,
2020-11-16,16:00,UR,,719,,4,,,524,9,https://www.ur.ch/themen/2962,,212,
2020-11-17,16:00,UR,,750,,4,,,552,9,https://www.ur.ch/themen/2962,,218,
2020-11-18,16:00,UR,,774,,4,,,585,9,https://www.ur.ch/themen/2962,,252,
2020-11-19,16:00,UR,,779,,8,,,594,9,https://www.ur.ch/themen/2962,,287,
2020-11-20,16:00,UR,,818,,7,,,611,9,https://www.ur.ch/themen/2962,,309,
2020-11-23,16:00,UR,,849,,6,,,,13,https://www.ur.ch/themen/2962,,281,
2020-11-24,09:30,UR,,849,,6,,,642,13,https://www.ur.ch/themen/2962,,299,
